hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 89944 Stay Inn,Kota Kinabalu,2.0,6.0,8 reviews,81874,Sabah,Malaysia,6222533,booking
OYO 89932 Dd Homestay,Kota Kinabalu,2.0,8.7,9 reviews,60847,Sabah,Malaysia,6212154,booking
SPOT ON 89967 Tabin Lodge Bed & Breakfast,Lahad Datu,2.0,7.1,48 reviews,59911,Sabah,Malaysia,1903575,booking
OYO 89482 Hotel Casero Inn,Kota Kinabalu,2.0,6.5,18 reviews,68601,Sabah,Malaysia,5703731,booking
OYO 44066 Unikarya Lodge,Kota Kinabalu,2.0,8.5,169 reviews,79660,Sabah,Malaysia,2943399,booking
OYO 89398 Doorbellz,Kota Kinabalu,2.0,6.9,90 reviews,88516,Sabah,Malaysia,4756519,booking
OYO 89603 Treeline Urban Inn,Kota Kinabalu,2.0,8.3,23 reviews,84796,Sabah,Malaysia,5632921,booking
OYO 210 Hotel Five 2,Kota Kinabalu,2.0,8.3,563 reviews,87404,Sabah,Malaysia,1681181,booking
OYO 43993 Madsuite,Kota Kinabalu,2.0,8.0,193 reviews,98430,Sabah,Malaysia,3235155,booking
SPOT ON 89947 Mu Yu,Semporna,2.0,nan,nan,87851,Sabah,Malaysia,6212211,booking
OYO 991 Mayfair Hotel,Kuching,2.0,7.5,122 reviews,74131,Kuching,Malaysia,4892371,booking
OYO 971 Nova Kuching Hotel,Kuching,2.0,7.7,283 reviews,82987,Kuching,Malaysia,1324060,booking
OYO 979 Hua Kuok Inn,Kuching,2.0,7.8,155 reviews,61959,Kuching,Malaysia,4952802,booking
OYO 89772 Roselyn Inn,Johor Bahru,2.0,nan,nan,75232,Johor Bahru,Malaysia,6123937,booking
OYO 89846 Lotus Inn Hotel,Bukit Baru,2.0,nan,nan,78548,Malacca,Malaysia,6166815,booking
OYO 43965 Jasa Resort,Sungai Lembing,2.0,8.9,72 reviews,97147,Pahang,Malaysia,5393342,booking
OYO 89557 Welcome Inn,Bintulu,2.0,7.2,11 reviews,50811,Sarawak,Malaysia,5825075,booking
OYO Home 44046 Cozy 1br Casa Mutiara,"Bukit Bintang, Kuala Lumpur",nan,4.1,8 reviews,110541,Kuala Lumpur,Malaysia,5517292,booking
OYO Home 89447 Wonderful 1br Megan Ambassy,"Kuala Lumpur City-Centre, Kuala Lumpur",nan,3.3,3 reviews,97656,Kuala Lumpur,Malaysia,5747894,booking
OYO 805 Hotel Run Star,"Chow Kit, Kuala Lumpur",2.0,7.3,80 reviews,72572,Kuala Lumpur,Malaysia,4936993,booking
OYO 1227 AA Inn,Bintulu,2.0,6.9,4 reviews,50811,Sarawak,Malaysia,5530525,booking
OYO 89604 City Home Stay,Miri,2.0,7.9,187 reviews,71872,Sarawak,Malaysia,2008540,booking
OYO 327 Buddys Hotel,"Chow Kit, Kuala Lumpur",2.0,7.9,612 reviews,101704,Kuala Lumpur,Malaysia,2131130,booking
SPOT ON 89953 Marco Polos Kenyalang,Kuching,2.0,8.7,14 reviews,65275,Sarawak,Malaysia,4792235,booking
OYO 89618 Delegant Hotel,"Bukit Bintang, Kuala Lumpur",2.0,6.9,18 reviews,77624,Kuala Lumpur,Malaysia,5942812,booking
OYO Capital O 978 Midaris Hotel,"Pudu, Kuala Lumpur",3.0,7.4,541 reviews,108476,Kuala Lumpur,Malaysia,4058735,booking
SPOT ON 89926 City Hostel Ipoh,Ipoh,2.0,7.9,4 reviews,70804,Ipoh,Malaysia,5878009,booking
OYO 193 City Kuchai Hotel,"Mid Valley, Kuala Lumpur",2.0,7.1,115 reviews,75684,Kuala Lumpur,Malaysia,1898163,booking
