hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO Life 2392 Kost Safira,Yogyakarta,2.0,nan,nan,25277,Yogyakarta,Indonesia,5926149,booking
OYO 1212 Hotel Pakuning,"Jetis, Yogyakarta",2.0,7.0,12 reviews,51034,Yogyakarta,Indonesia,361676,booking
OYO 703 Omah Olin Guesthouse,Yogyakarta,2.0,8.5,7 reviews,42200,Yogyakarta,Indonesia,4816986,booking
RedDoorz near Universitas Gajah Mada,"Sinduadi, Yogyakarta",nan,nan,nan,39326,Yogyakarta,Indonesia,5728244,booking
RedDoorz Plus @ Prawirotaman Area,"Mergangsan, Yogyakarta",2.0,6.2,41 reviews,44324,Yogyakarta,Indonesia,359096,booking
OYO 1242 Penginapan RB Syariah,Yogyakarta,2.0,8.3,5 reviews,30699,Yogyakarta,Indonesia,1197082,booking
RedDoorz near Affandi Gejayan 2,Yogyakarta,nan,nan,nan,49344,Yogyakarta,Indonesia,5811042,booking
RedDoorz near Malioboro Tugu Station Jogja 2,"Jetis, Yogyakarta",nan,8.5,5 reviews,40641,Yogyakarta,Indonesia,5933449,booking
OYO 524 Makuta Hotel,"Mergangsan, Yogyakarta",2.0,7.9,30 reviews,48050,Yogyakarta,Indonesia,475247,booking
OYO 1542 Juan Palace,Yogyakarta,2.0,8.1,14 reviews,39548,Yogyakarta,Indonesia,5609760,booking
OYO 1334 De'amor Exclusive Timoho,"Umbulharjo, Yogyakarta",2.0,8.8,49 reviews,65384,Yogyakarta,Indonesia,5444885,booking
OYO 2953 Borobudur Residence,"Mergangsan, Yogyakarta",2.0,nan,nan,37646,Yogyakarta,Indonesia,500476,booking
OYO 3010 Achiera,Yogyakarta,2.0,nan,nan,39311,Yogyakarta,Indonesia,6175260,booking
OYO 804 Ndalem Maharani Residence,"Kraton, Yogyakarta",2.0,8.0,59 reviews,56760,Yogyakarta,Indonesia,535588,booking
RedDoorz near Candi Ratu Boko,Yogyakarta,nan,7.1,11 reviews,48261,Yogyakarta,Indonesia,4746727,booking
RedDoorz near UMY Yogyakarta 3,Yogyakarta,nan,7.8,3 reviews,74014,Yogyakarta,Indonesia,5323672,booking
RedDoorz @ Jalan Parangtritis,Yogyakarta,2.0,7.9,50 reviews,40963,Yogyakarta,Indonesia,3933294,booking
OYO 1665 Aurila Residence Syariah,Malang,2.0,7.4,6 reviews,36116,Malang,Indonesia,5775676,booking
KoolKost Syariah @ Sigura-Gura Malang,Malang,nan,8.3,3 reviews,46478,Malang,Indonesia,5778359,booking
OYO Life 2744 Guest House Qudsi,Malang,2.0,nan,nan,26962,Malang,Indonesia,6026093,booking
OYO 1038 Embun Pagi Syariah Residence,Malang,2.0,7.2,6 reviews,39417,Malang,Indonesia,5352445,booking
OYO 2734 Griya Mumpuni,Malang,2.0,nan,nan,39411,Malang,Indonesia,6026114,booking
KoolKost Syariah near UIN Maulana Malik Ibrahim (Female Only),Malang,nan,nan,nan,53835,Malang,Indonesia,5839134,booking
RedDoorz Hostel @ Malang City Center,Malang,nan,nan,nan,45812,Malang,Indonesia,5907073,booking
SPOT ON 2749 Tiga Sinar Residence,Malang,2.0,nan,nan,77188,Malang,Indonesia,6025959,booking
OYO 3183 Kost Putri Biru Sigura-gura,Malang,2.0,nan,nan,998722,Malang,Indonesia,6379798,booking
OYO 2748 Omah Anin Boarding House,Malang,2.0,nan,nan,78640,Malang,Indonesia,6016427,booking
KoolKost Female Syariah near SMAK Kolese Santo Yusup,Malang,nan,nan,nan,32309,Malang,Indonesia,6196717,booking
OYO 3447 H&f Boarding House,Malang,2.0,nan,nan,998722,Malang,Indonesia,6384958,booking
RedDoorz Syariah Plus @ Banjarbaru 2,Banjarbaru,2.0,7.6,17 reviews,44459,Banjarbaru,Indonesia,1578923,booking
RedDoorz Syariah near Syamsudin Noor Airport 2,Banjarbaru,nan,8.2,5 reviews,110600,Banjarbaru,Indonesia,5136043,booking
RedDoorz Plus near Syamsudin Noor Airport 3,Banjarbaru,nan,8.0,3 reviews,185971,Banjarbaru,Indonesia,5388388,booking
OYO 3293 Sulthan Ix Residence,Banjarbaru,2.0,nan,nan,200578,Banjarbaru,Indonesia,6303721,booking
OYO 3304 Garuda Residence,Banjarbaru,2.0,nan,nan,33195,Banjarbaru,Indonesia,6303749,booking
RedDoorz Syariah near Museum Lambung Mangkurat 2,Banjarbaru,nan,nan,nan,54278,Banjarbaru,Indonesia,5136931,booking
OYO 2692 Penginapan Mba Ros,Banjarbaru,2.0,nan,nan,35294,Banjarbaru,Indonesia,6025962,booking
OYO 2872 Garuda Guest House,Banjarmasin,2.0,nan,nan,39797,Banjarbaru,Indonesia,6026314,booking
RedDoorz Syariah near Q Mall Banjarbaru,Martapura,nan,nan,nan,40748,Banjarbaru,Indonesia,4573959,booking
OYO 2879 Pondok Bunda,Banjarmasin,2.0,nan,nan,43662,Banjarbaru,Indonesia,6026311,booking
SPOT ON 3037 Sakinah Residence,Malang,2.0,nan,nan,55766,Malang,Indonesia,6187050,booking
OYO 2301 Hocky Residence,Banjarmasin,2.0,nan,nan,28045,Banjarbaru,Indonesia,5898170,booking
OYO 2724 Perdana Suites Residence Syariah,Malang,2.0,nan,nan,42675,Malang,Indonesia,6005868,booking
OYO 1342 Uniga Malang Family Residence,Malang,2.0,8.5,14 reviews,49704,Malang,Indonesia,5651071,booking
OYO 1614 Hotel Mandala Puri,Malang,2.0,5.5,7 reviews,60539,Malang,Indonesia,1048121,booking
RedDoorz Premium @ Jalan Cengkeh Malang,Malang,nan,8.6,61 reviews,80878,Malang,Indonesia,4904120,booking
RedDoorz near Brawijaya University,Malang,3.0,8.4,70 reviews,52193,Malang,Indonesia,3115959,booking
