hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 303 Phoomjai House,Chalong,2.0,9.1,63 reviews,73172,Phuket,Thailand,1313276,booking
OYO The Chalet Phuket Resort,Panwa Beach,4.0,7.8,4 reviews,196887,Phuket,Thailand,280394,booking
OYO 277 Pumpui Boutique Hotel,Patong Beach,nan,6.6,38 reviews,57312,Phuket,Thailand,3561091,booking
OYO 581 The Album Loft@nanai,"Nanai Road, Patong Beach",2.0,8.0,80 reviews,72878,Phuket,Thailand,276808,booking
OYO 386 Phuket Iyh Islands Boutique Hotel,Patong Beach,3.0,7.3,29 reviews,80213,Phuket,Thailand,2233317,booking
OYO 288 The Minotel Hotel,Patong Beach,2.0,7.0,43 reviews,95351,Phuket,Thailand,335600,booking
OYO 373 Mc Ginger House,Patong Beach,3.0,7.4,62 reviews,73709,Phuket,Thailand,775558,booking
OYO 466 Vibes Patong,Patong Beach,2.0,nan,nan,88596,Phuket,Thailand,5867648,booking
OYO 292 The Oddy Hip Hotel,Patong Beach,3.0,5.5,23 reviews,58566,Phuket,Thailand,263094,booking
OYO 138 The Chilli Salza Patong,Patong Beach,3.0,5.7,146 reviews,80600,Phuket,Thailand,439493,booking
OYO 389 Sira Boutique Residence,Patong Beach,3.0,7.2,37 reviews,59913,Phuket,Thailand,249445,booking
OYO 241 Ratana Hotel Sakdidet,Phuket Town,3.0,8.0,209 reviews,51460,Phuket,Thailand,250655,booking
OYO 501 At Night Hostel,Phuket Town,2.0,8.9,62 reviews,52747,Phuket,Thailand,1094901,booking
OYO 355 Shyne Place,Phuket Town,2.0,8.7,107 reviews,65708,Phuket,Thailand,1092556,booking
Tira Hostel at Chalong Phuket,Ban Suan,nan,nan,nan,76388,Phuket,Thailand,5907494,booking
OYO 792 Omsaga Phuket Hotel,Ban Phlu Yai,2.0,5.7,7 reviews,61347,Phuket,Thailand,379325,booking
OYO 861 Patong Dynasty Hotel,Patong Beach,2.0,6.5,124 reviews,80342,Phuket,Thailand,1093549,booking
OYO 821 The Littlenest Phuket,Phuket Town,2.0,7.6,3 reviews,76332,Phuket,Thailand,1351927,booking
OYO 586 I Hostel,Phuket Town,nan,7.2,16 reviews,54322,Phuket,Thailand,374461,booking
OYO 736 Green Poshtel,Phuket Town,3.0,nan,nan,65608,Phuket,Thailand,6149994,booking
OYO 623 Cafe'@Luv22,Phuket Town,3.0,nan,nan,66639,Phuket,Thailand,6144200,booking
